PREFIX, GENERAL MEANING
a(n)-,	not
ab-	away,	
acr(o)-,	high
aer(o)-,	air	 
agr(o)-,	relating to farming
an(a)-,	out of
andr-,	man
Anglo-,	English or British, 
ante-,	before
anthrop(o)-,	relating to human beings
ant(i)-,	against
aut(o)-,	self
bar(o)-,	atmosphere	
bathy-,	deep
be-,	completely
bi-,	two	 
bi(o)-,	life	
bibli(o)-,	relating to books			
brady-,	slow		
bronch(o)-,	relating to breathing		
cardi(o)-	,heart	
cent-,	hundred or hundredth			
chron(o)-,	time
circum-,	around		
co-,	together			
contr(a)-,	against
counter-,	against	
cry(o)-,	frost
crypt(o)-,	hidden
cyt(o)-,	hollow	
de-,	taking something away
dec(a)-,	ten
deci -,	one tenth	
dem(o)-,	people /nation
derm(o)-,	skin
di-	two , double	
didact(o)-,	apt at teaching	
dynam(o)-,	power 
dis-,	reverse 
dys-,	bad
eco-,	house
ecto(s)-,	outside	
electr(o)-,	electricity	
embry(o)-,	full	
encephal(o)-,	brain		
enne(a)-,	nine			
eo-,	dawn or early	
ep(i)-, 	above	
eu-,	good
ex-,	former
ex(o)-,	outside	
extra-,	very
flor(i)-,	relating to flowers
fore-,	before
gyn-,	female	
hemi-,	half	
hex(a)-,	six
hyper-,	excessive
hyp(o)-,	below
in-,	extremely
inter-,	between
intra-,	within
kilo -,	thousand
mal-,	bad
maxi-,	most
mega -, million or very large
meta-,	after
micro -,	one millionth or very small
mid-,	in the middle of
milli -,	thousandth
mini-,	small
mis-,	bad
mon(o)-,	one
multi-,	many
non-,	not
non-,	nine
oct(o)-,	eight
oo-,	egg
out-,	more
over-,	more than normal
pent(a)-,	five
post-,	after
pre-,	before
pro-,   in favour of
quadr-, four
quart-,	four
quin(que)-,	five
quint(i)-,	fifth
re-,	again
rect(i)-,	proper
scler(o)-,	hard
semi-,	half
sept(a)-,	seven	
sex(i)-,	six	
Sino-,	Chinese
sphygm(o)-,	pulso
schiz(o)- ,split
styl(o)-,	pillar	
sub-,	below or less than
super-,	extremely
syn-,	along with
tach(y)-,	fast or relating to speed	
tel(e)-,	far or over  a  long distance
tel(o)-,	end or complete or mature
trans-,	across or beyond
tri-,	three
ultra-,	extremely or beyond  a  certain limit
un-	not, opposite or take something away
uni-,	one or single
ur-,	first or original
zoo- (" zoo -oh"),	relating to animals